Origin,Destination,Flow
R5_100.93,R5_218.33,21329.48261717744
R5_127.13,R5_218.33,18869.774768576004
R5_133.66,R5_218.33,18537.06424520017
R5_104.81,R5_218.33,15921.179425221237
R5_152.72,R520_12.83,15838.147772951472
R5_164.22,R520_12.83,15838.147772951472
R5_167.8,R520_12.83,15838.147772951472
R5_181.31,R520_12.83,15838.147772951472
R5_218.33,R520_12.83,15838.147772951472
R5_100.93,R5_131.35,14851.821625152492
