n_lanes,time_saving_pct,speed_improvement_pct,congestion_reduction_pct,construction_cost_million,annual_benefit_million,npv_net_million,bc_ratio,av_total_time,av_avg_speed,av_avg_vc
1,-0.002117813450301316,-0.0021177685999050687,0.0,0.692016200000011,-0.0024934430343091663,-0.7112699061719687,-0.027822623476094,23547.83269911102,96.05111107861865,0.5539178977272726
2,-0.0038908665714996213,-0.0038907151889550668,0.0,1.2713785999999871,-0.004580976737470337,-1.3067516880834948,-0.02782262347620777,23548.25020585165,96.04940810765605,0.5539178977272726
3,-0.005910177070619821,-0.005909827789325659,0.0,1.9312079999999816,-0.006958445677155396,-1.9849392730381075,-0.027822623476148833,23548.725699639588,96.04746868649701,0.5539178977272726
