n_lanes,time_saving_pct,speed_improvement_pct,congestion_reduction_pct,construction_cost_million,annual_benefit_million,npv_net_million,bc_ratio,av_total_time,av_avg_speed,av_avg_vc
1,-0.014717063680514843,-0.014714898079596321,0.0,1.1909116000000146,-0.025009284628758906,-1.3840266666718273,-0.16215734792726028,33991.78776975808,94.19404792950189,0.767680032280356
2,-0.02409436067086672,-0.02408855668713449,0.0,1.9633948000000152,-0.04094449389136571,-2.2795573286387683,-0.16102850462818305,33994.9748116106,94.18521720158775,0.767680032280356
3,-0.05025330371620307,-0.050228062455414446,0.0,2.88071860000005,-0.08539741374075675,-3.5401347925440985,-0.2289068403085388,34003.86539558048,94.16059171938123,0.767680032280356
