p,total_time,avg_speed,total_flow,avg_vc_ratio,total_distance,improvement_pct
0.0,8239.447059616676,94.53124085686352,738300.0,0.24349634740259724,778885.1545199999,0.0
0.2,8577.241774825321,94.83048125927856,771188.5132194001,0.254984375260563,813383.9653838738,-4.099725536975058
0.4,9719.730022762677,94.37899547677843,869687.6373905814,0.287505935033088,917338.3558538262,-17.965804652125144
0.6,11101.939156887198,94.02278491706755,988968.7728832283,0.3246899623129429,1043835.2375103753,-34.7413130584966
0.8,12822.12574316441,93.84986044354177,1140034.9262668714,0.3739629058552265,1203354.7115855243,-55.618764832029086
1.0,14233.073813806352,93.88560435360374,1266230.9611992866,0.41622322492720537,1336280.736818661,-72.74307014563813
