n_lanes,time_saving_pct,speed_improvement_pct,congestion_reduction_pct,construction_cost_million,annual_benefit_million,npv_net_million,bc_ratio,av_total_time,av_avg_speed,av_avg_vc
1,-0.04340256751642893,-0.04338373786031598,0.0,1.1909116000000146,-0.07276693303196226,-1.75279856848257,-0.4718124909376553,33545.71856683136,92.70151791901571,0.7785881861184577
2,-0.07791140056153499,-0.07785074595501829,0.0,2.172609000000014,-0.1306230020825751,-3.1812451977360157,-0.4642511366453858,33557.289780641484,92.66955261158547,0.7785881861184577
3,-0.15127705097887678,-0.15104854918812707,0.0,3.0899328000000486,-0.25362478921750153,-5.048356193807967,-0.6338077623590673,33581.89013806847,92.6016676858868,0.7785881861184577
